[2024-07-10 21:36:30,610: INFO: main: bert model is loaded!!]
[2024-07-10 21:37:00,851: INFO: evaluation: Accuracy Score = 0.8181818181818182]
[2024-07-10 21:37:00,851: INFO: evaluation: F1 Score (Micro) = 0.0]
[2024-07-10 21:37:00,851: INFO: evaluation: F1 Score (Macro) = 0.0]
[2024-07-10 21:37:00,851: INFO: training: Checkpointing model at epoch 0 and accuracy is: 0.8181818181818182]
[2024-07-10 21:37:43,182: INFO: evaluation: Accuracy Score = 0.8181818181818182]
[2024-07-10 21:37:43,183: INFO: evaluation: F1 Score (Micro) = 0.0]
[2024-07-10 21:37:43,183: INFO: evaluation: F1 Score (Macro) = 0.0]
[2024-07-10 21:37:43,183: INFO: training: Checkpointing model at epoch 1 and accuracy is: 0.8181818181818182]
[2024-07-10 21:37:47,829: INFO: main: training is completed!!!]
[2024-07-10 21:37:59,203: INFO: evaluation: Accuracy Score = 0.9696969696969697]
[2024-07-10 21:37:59,204: INFO: evaluation: F1 Score (Micro) = 0.0]
[2024-07-10 21:37:59,204: INFO: evaluation: F1 Score (Macro) = 0.0]
[2024-07-10 21:37:59,209: INFO: main: active run id is: 57b800f68b4e485092efbfa82c595bfc]
[2024-07-10 21:37:59,209: INFO: main: active run id is: masked-slug-280]
[2024-07-10 21:37:59,210: INFO: main: loading the trained model!]
[2024-07-10 21:41:49,393: INFO: main: loading config]
[2024-07-10 21:41:52,542: INFO: main: train test data loaded!!]
[2024-07-10 21:41:54,870: INFO: main: bert model is loaded!!]
[2024-07-10 21:42:26,951: INFO: evaluation: Accuracy Score = 0.8181818181818182]
[2024-07-10 21:42:26,951: INFO: evaluation: F1 Score (Micro) = 0.0]
[2024-07-10 21:42:26,951: INFO: evaluation: F1 Score (Macro) = 0.0]
[2024-07-10 21:42:26,951: INFO: training: Checkpointing model at epoch 0 and accuracy is: 0.8181818181818182]
[2024-07-10 21:43:08,817: INFO: evaluation: Accuracy Score = 0.8181818181818182]
[2024-07-10 21:43:08,818: INFO: evaluation: F1 Score (Micro) = 0.0]
[2024-07-10 21:43:08,818: INFO: evaluation: F1 Score (Macro) = 0.0]
[2024-07-10 21:43:08,818: INFO: training: Checkpointing model at epoch 1 and accuracy is: 0.8181818181818182]
[2024-07-10 21:43:12,989: INFO: main: training is completed!!!]
[2024-07-10 21:43:24,870: INFO: evaluation: Accuracy Score = 0.9696969696969697]
